,Datetime,Temperature (°C),Relative Humidity (%),Precipitation (mm),Wind Speed (m/s),Wind Direction (degrees),Cloud Coverage (%),Thunderstorm Occurrence,Longitude,Latitude
0,2024-04-29 16:00:00,39.8,15,0.0,4.13,253,0,No,77.4126,23.349832160591877
1,2024-04-29 17:00:00,38.8,15,0.0,3.58,253,0,No,77.4126,23.2599
2,2024-04-29 18:00:00,37.5,16,0.0,2.27,248,0,No,77.41601855753545,23.349777339329016
3,2024-04-29 19:00:00,35.2,20,0.0,1.29,256,60,No,77.4126,23.2599
4,2024-04-29 20:00:00,33.6,23,0.0,1.26,275,50,No,77.41943294163362,23.349612942467466
5,2024-04-29 21:00:00,32.6,24,0.0,1.32,281,0,No,77.4126,23.2599
6,2024-04-29 22:00:00,31.8,25,0.0,1.56,281,0,No,77.42283898398334,23.349339170706116
7,2024-04-29 23:00:00,31.2,26,0.0,1.73,288,0,No,77.4126,23.2599
8,2024-04-30 00:00:00,30.3,28,0.0,1.76,288,0,No,77.42623252651912,23.3489563582692
9,2024-04-30 01:00:00,29.3,31,0.0,1.63,292,0,No,77.4126,23.2599
10,2024-04-30 02:00:00,28.4,33,0.0,1.7,291,0,No,77.42960942652795,23.34846497249578
11,2024-04-30 03:00:00,27.9,35,0.0,1.76,295,0,No,77.4126,23.2599
12,2024-04-30 04:00:00,27.3,38,0.0,1.53,287,0,No,77.4329655617367,23.347865613265736
13,2024-04-30 05:00:00,26.6,41,0.0,1.29,281,0,No,77.4126,23.2599
14,2024-04-30 06:00:00,26.2,43,0.0,1.27,273,0,No,77.43629683537387,23.347159012263035
15,2024-04-30 07:00:00,27.7,40,0.0,1.77,283,0,No,77.4126,23.2599
16,2024-04-30 08:00:00,30.1,34,0.0,2.05,293,0,No,77.43959918119918,23.34634603207712
17,2024-04-30 09:00:00,32.7,29,0.0,1.96,311,0,No,77.4126,23.2599
18,2024-04-30 10:00:00,35.2,25,0.0,1.58,317,0,No,77.44286856849499,23.34542766514361
19,2024-04-30 11:00:00,37.1,21,0.0,1.73,306,0,No,77.4126,23.2599
20,2024-04-30 12:00:00,38.4,18,0.0,2.56,289,0,No,77.44610100701264,23.344405032525657
21,2024-04-30 13:00:00,39.3,16,0.0,3.13,284,0,No,77.4126,23.2599
22,2024-04-30 14:00:00,39.7,15,0.0,3.38,281,0,No,77.44929255186854,23.343279382537418
23,2024-04-30 15:00:00,39.5,15,0.0,3.61,280,0,No,77.4126,23.2599
24,2024-04-30 16:00:00,38.9,14,0.0,3.65,281,0,No,77.45243930838267,23.34205208921144
25,2024-04-30 17:00:00,37.8,14,0.0,3.43,279,0,No,77.4126,23.2599
26,2024-04-30 18:00:00,36.2,15,0.0,2.37,286,0,No,77.45553743685447,23.340724650611875
27,2024-04-30 19:00:00,34.1,19,0.0,1.08,311,0,No,77.4126,23.2599
28,2024-04-30 20:00:00,32.3,23,0.0,0.94,303,5,No,77.45858315726952,23.3392986869956
29,2024-04-30 21:00:00,30.8,26,0.0,1.0,294,0,No,77.4126,23.2599
30,2024-04-30 22:00:00,30.0,31,0.0,1.17,286,0,No,77.46157275393134,23.337775938823608
31,2024-04-30 23:00:00,28.9,32,0.0,1.27,282,9,No,77.4126,23.2599
32,2024-05-01 00:00:00,28.1,31,0.0,1.35,285,0,No,77.46450258001268,23.33615826462508
33,2024-05-01 01:00:00,27.4,30,0.0,1.42,290,0,No,77.4126,23.2599
34,2024-05-01 02:00:00,26.6,31,0.0,1.2,289,0,No,77.46736906202021,23.33444763871696
35,2024-05-01 03:00:00,25.8,34,0.0,1.04,274,0,No,77.4126,23.2599
36,2024-05-01 04:00:00,25.0,36,0.0,1.08,277,0,No,77.47016870416768,23.332646148781716
37,2024-05-01 05:00:00,24.4,37,0.0,1.21,270,0,No,77.4126,23.2599
38,2024-05-01 06:00:00,24.3,40,0.0,1.3,265,0,No,77.47289809265149,23.330755993306475
39,2024-05-01 07:00:00,26.6,36,0.0,1.85,267,0,No,77.4126,23.2599
40,2024-05-01 08:00:00,29.5,28,0.0,2.79,276,0,No,77.47555389982391,23.328779478886617
41,2024-05-01 09:00:00,32.1,21,0.0,3.72,296,0,No,77.4126,23.2599
42,2024-05-01 10:00:00,34.3,16,0.0,3.46,300,0,No,77.47813288825839,23.32671901739729
43,2024-05-01 11:00:00,36.1,11,0.0,3.69,292,0,No,77.4126,23.2599
44,2024-05-01 12:00:00,37.2,9,0.0,3.98,288,0,No,77.48063191470229,23.324577123036327
45,2024-05-01 13:00:00,37.8,8,0.0,3.88,290,45,No,77.4126,23.2599
46,2024-05-01 14:00:00,38.0,7,0.0,3.98,289,0,No,77.4830479339119,23.322356409242296
47,2024-05-01 15:00:00,37.8,7,0.0,3.98,289,0,No,77.4126,23.2599
48,2024-05-01 16:00:00,37.0,6,0.0,4.01,288,0,No,77.48537800236527,23.320059585491496
49,2024-05-01 17:00:00,35.7,6,0.0,3.68,288,37,No,77.4126,23.2599
50,2024-05-01 18:00:00,33.8,8,0.0,2.39,290,0,No,77.48761928184801,23.317689453977927
51,2024-05-01 19:00:00,31.6,12,0.0,1.15,295,0,No,77.4126,23.2599
52,2024-05-01 20:00:00,29.9,16,0.0,0.93,294,0,No,77.48976904290829,23.315248906180326
53,2024-05-01 21:00:00,28.8,24,0.0,0.84,289,0,No,77.4126,23.2599
54,2024-05-01 22:00:00,27.5,20,0.0,1.29,276,0,No,77.49182466817602,23.312740919320632
55,2024-05-01 23:00:00,25.6,21,0.0,1.44,287,0,No,77.4126,23.2599
56,2024-05-02 00:00:00,25.1,20,0.0,1.49,303,0,No,77.49378365554291,23.310168552718157
57,2024-05-02 01:00:00,24.7,20,0.0,1.3,309,0,No,77.4126,23.2599
58,2024-05-02 02:00:00,24.3,23,0.0,0.92,305,0,No,77.49564362119922,23.30753494404412
59,2024-05-02 03:00:00,24.0,25,0.0,1.12,297,0,No,77.4126,23.2599
60,2024-05-02 04:00:00,22.8,26,0.0,1.23,296,27,No,77.49740230252365,23.304843305481135
61,2024-05-02 05:00:00,22.1,28,0.0,1.23,292,27,No,77.4126,23.2599
62,2024-05-02 06:00:00,22.1,31,0.0,1.25,297,0,No,77.49905756082298,23.3020969197924
63,2024-05-02 07:00:00,24.2,29,0.0,1.2,303,0,No,77.4126,23.2599
64,2024-05-02 08:00:00,27.5,23,0.0,1.69,328,0,No,77.50060738391795,23.29929913630553
65,2024-05-02 09:00:00,30.6,16,0.0,2.9,16,0,No,77.4126,23.2599
66,2024-05-02 10:00:00,32.8,14,0.0,2.77,29,0,No,77.50204988857281,23.29645336681593
67,2024-05-02 11:00:00,34.7,12,0.0,2.2,25,0,No,77.4126,23.2599
68,2024-05-02 12:00:00,35.6,10,0.0,1.74,3,8,No,77.50338332276515,23.293563081414817
69,2024-05-02 13:00:00,36.5,9,0.0,1.64,334,16,No,77.4126,23.2599
70,2024-05-02 14:00:00,37.3,8,0.0,1.96,308,24,No,77.50460606779382,23.29063180424709
71,2024-05-02 15:00:00,36.9,8,0.0,1.98,306,20,No,77.4126,23.2599
72,2024-05-02 16:00:00,36.4,8,0.0,2.0,303,17,No,77.50571664022203,23.28766310920417
