,Datetime,Temperature (°C),Relative Humidity (%),Precipitation (mm),Wind Speed (m/s),Wind Direction (degrees),Cloud Coverage (%),Thunderstorm Occurrence
0,2024-04-29 16:00:00,39.8,15,0.0,4.13,253,0,No
1,2024-04-29 17:00:00,38.8,15,0.0,3.58,253,0,No
2,2024-04-29 18:00:00,37.5,16,0.0,2.27,248,0,No
3,2024-04-29 19:00:00,35.2,20,0.0,1.29,256,60,No
4,2024-04-29 20:00:00,33.6,23,0.0,1.26,275,50,No
5,2024-04-29 21:00:00,32.6,24,0.0,1.32,281,0,No
6,2024-04-29 22:00:00,31.8,25,0.0,1.56,281,0,No
7,2024-04-29 23:00:00,31.2,26,0.0,1.73,288,0,No
8,2024-04-30 00:00:00,30.3,28,0.0,1.76,288,0,No
9,2024-04-30 01:00:00,29.3,31,0.0,1.63,292,0,No
10,2024-04-30 02:00:00,28.4,33,0.0,1.7,291,0,No
11,2024-04-30 03:00:00,27.9,35,0.0,1.76,295,0,No
12,2024-04-30 04:00:00,27.3,38,0.0,1.53,287,0,No
13,2024-04-30 05:00:00,26.6,41,0.0,1.29,281,0,No
14,2024-04-30 06:00:00,26.2,43,0.0,1.27,273,0,No
15,2024-04-30 07:00:00,27.7,40,0.0,1.77,283,0,No
16,2024-04-30 08:00:00,30.1,34,0.0,2.05,293,0,No
17,2024-04-30 09:00:00,32.7,29,0.0,1.96,311,0,No
18,2024-04-30 10:00:00,35.2,25,0.0,1.58,317,0,No
19,2024-04-30 11:00:00,37.1,21,0.0,1.73,306,0,No
20,2024-04-30 12:00:00,38.4,18,0.0,2.56,289,0,No
21,2024-04-30 13:00:00,39.3,16,0.0,3.13,284,0,No
22,2024-04-30 14:00:00,39.7,15,0.0,3.38,281,0,No
23,2024-04-30 15:00:00,39.5,15,0.0,3.61,280,0,No
24,2024-04-30 16:00:00,38.9,14,0.0,3.65,281,0,No
25,2024-04-30 17:00:00,37.8,14,0.0,3.43,279,0,No
26,2024-04-30 18:00:00,36.2,15,0.0,2.37,286,0,No
27,2024-04-30 19:00:00,34.1,19,0.0,1.08,311,0,No
28,2024-04-30 20:00:00,32.3,23,0.0,0.94,303,5,No
29,2024-04-30 21:00:00,30.8,26,0.0,1.0,294,0,No
30,2024-04-30 22:00:00,30.0,31,0.0,1.17,286,0,No
31,2024-04-30 23:00:00,28.9,32,0.0,1.27,282,9,No
32,2024-05-01 00:00:00,28.1,31,0.0,1.35,285,0,No
33,2024-05-01 01:00:00,27.4,30,0.0,1.42,290,0,No
34,2024-05-01 02:00:00,26.6,31,0.0,1.2,289,0,No
35,2024-05-01 03:00:00,25.8,34,0.0,1.04,274,0,No
36,2024-05-01 04:00:00,25.0,36,0.0,1.08,277,0,No
37,2024-05-01 05:00:00,24.4,37,0.0,1.21,270,0,No
38,2024-05-01 06:00:00,24.3,40,0.0,1.3,265,0,No
39,2024-05-01 07:00:00,26.6,36,0.0,1.85,267,0,No
40,2024-05-01 08:00:00,29.5,28,0.0,2.79,276,0,No
41,2024-05-01 09:00:00,32.1,21,0.0,3.72,296,0,No
42,2024-05-01 10:00:00,34.3,16,0.0,3.46,300,0,No
43,2024-05-01 11:00:00,36.1,11,0.0,3.69,292,0,No
44,2024-05-01 12:00:00,37.2,9,0.0,3.98,288,0,No
45,2024-05-01 13:00:00,37.8,8,0.0,3.88,290,45,No
46,2024-05-01 14:00:00,38.0,7,0.0,3.98,289,0,No
47,2024-05-01 15:00:00,37.8,7,0.0,3.98,289,0,No
48,2024-05-01 16:00:00,37.0,6,0.0,4.01,288,0,No
49,2024-05-01 17:00:00,35.7,6,0.0,3.68,288,37,No
50,2024-05-01 18:00:00,33.8,8,0.0,2.39,290,0,No
51,2024-05-01 19:00:00,31.6,12,0.0,1.15,295,0,No
