Datetime,Temperature (°C),Relative Humidity (%),Precipitation (mm),Wind Speed (m/s),Wind Direction (degrees),Cloud Coverage (%),Thunderstorm Occurrence
2024-04-30 15:00:00,15.4,51,0.0,5.33,316,80,No
2024-04-30 16:00:00,13.7,57,0.0,5.57,327,69,No
2024-04-30 17:00:00,12.2,62,0.0,5.04,6,67,No
2024-04-30 18:00:00,11.8,67,0.0,2.17,298,76,No
2024-04-30 19:00:00,11.2,67,0.0,2.97,241,89,No
2024-04-30 20:00:00,9.9,72,0.6328125,1.37,254,71,No
2024-04-30 21:00:00,9.1,73,0.6640625,2.26,246,70,No
2024-04-30 22:00:00,8.7,75,0.13671875,1.54,200,100,No
2024-04-30 23:00:00,8.5,72,0.03125,2.78,214,100,No
2024-05-01 00:00:00,8.0,77,2.0703125,3.14,190,100,No
2024-05-01 01:00:00,7.4,86,2.2460938,0.6,41,80,No
2024-05-01 02:00:00,7.3,86,0.0,2.01,245,61,No
2024-05-01 03:00:00,7.1,83,0.0,1.44,290,0,No
2024-05-01 04:00:00,6.2,88,0.0,1.36,332,0,No
2024-05-01 05:00:00,5.6,91,0.0,0.91,315,0,No
2024-05-01 06:00:00,5.4,92,0.0,0.63,272,0,No
2024-05-01 07:00:00,7.6,92,0.0,0.2,25,0,No
2024-05-01 08:00:00,9.5,82,0.0,1.09,56,0,No
2024-05-01 09:00:00,11.3,73,0.0,1.03,87,67,No
2024-05-01 10:00:00,12.9,66,0.0,1.61,65,61,No
2024-05-01 11:00:00,14.6,60,0.0,1.93,40,0,No
2024-05-01 12:00:00,16.3,50,0.0,1.07,55,0,No
2024-05-01 13:00:00,17.4,43,0.0,1.14,67,0,No
2024-05-01 14:00:00,18.2,40,0.0,1.81,35,38,No
2024-05-01 15:00:00,18.6,36,0.0,1.59,25,37,No
2024-05-01 16:00:00,18.7,34,0.0,1.03,69,0,No
2024-05-01 17:00:00,18.4,33,0.0,1.61,108,0,No
2024-05-01 18:00:00,16.9,42,0.0,1.8,134,0,No
2024-05-01 19:00:00,14.2,58,0.0,1.57,138,0,No
2024-05-01 20:00:00,11.9,74,0.0,1.36,170,0,No
2024-05-01 21:00:00,10.0,84,0.0,1.68,213,0,No
2024-05-01 22:00:00,8.7,86,0.0,1.67,222,0,No
2024-05-01 23:00:00,8.1,84,0.0,1.79,226,0,No
2024-05-02 00:00:00,7.5,83,0.0,2.07,221,0,No
2024-05-02 01:00:00,7.0,84,0.0,2.15,219,0,No
2024-05-02 02:00:00,6.6,84,0.0,1.92,218,0,No
2024-05-02 03:00:00,6.2,85,0.0,1.76,222,0,No
2024-05-02 04:00:00,6.0,85,0.0,1.83,215,0,No
2024-05-02 05:00:00,5.5,86,0.0,1.93,216,0,No
2024-05-02 06:00:00,5.6,87,0.0,1.54,221,0,No
2024-05-02 07:00:00,8.7,83,0.0,0.81,226,0,No
2024-05-02 08:00:00,12.2,69,0.0,1.1,55,0,No
2024-05-02 09:00:00,14.2,62,0.0,1.03,49,0,No
2024-05-02 10:00:00,16.6,57,0.0,0.71,51,0,No
2024-05-02 11:00:00,18.6,49,0.0,0.49,32,0,No
2024-05-02 12:00:00,20.1,42,0.0,0.53,41,32,No
2024-05-02 13:00:00,21.3,36,0.0,0.35,62,30,No
2024-05-02 14:00:00,22.2,32,0.0,0.46,16,0,No
2024-05-02 15:00:00,22.7,29,0.0,0.36,22,0,No
